<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,15,20190704,150000,252.7100000,253.4000000,252.5000000,253.1600000,683290
GAZP,15,20190704,151500,253.1500000,253.4200000,252.8000000,253.2400000,385840
GAZP,15,20190704,153000,253.2000000,253.7000000,253.1600000,253.5500000,664780
GAZP,15,20190704,154500,253.4700000,253.6300000,253.3300000,253.5700000,191850
GAZP,15,20190704,160000,253.5700000,254.2700000,253.5400000,254.1000000,1055940
GAZP,15,20190704,161500,254.1300000,254.7800000,254.0500000,254.5400000,1125500
GAZP,15,20190704,163000,254.4900000,254.6400000,253.6800000,254.1900000,453190
GAZP,15,20190704,164500,254.1300000,254.6500000,253.9100000,254.5300000,517140
GAZP,15,20190704,170000,254.4700000,254.6000000,254.3200000,254.6000000,343990
GAZP,15,20190704,171500,254.6000000,254.6600000,254.2000000,254.5400000,592740
GAZP,15,20190704,173000,254.5400000,254.5900000,254.2100000,254.3300000,353350
GAZP,15,20190704,174500,254.3300000,254.3400000,254.1500000,254.2400000,224960
GAZP,15,20190704,180000,254.2300000,254.5000000,254.2000000,254.3700000,330910
GAZP,15,20190704,181500,254.3600000,254.6800000,254.3100000,254.6800000,348780
GAZP,15,20190704,183000,254.6800000,255.4300000,254.6500000,255.4000000,1149990
GAZP,15,20190704,184500,255.4000000,255.4300000,254.8100000,255.2600000,1022910
GAZP,15,20190704,190000,255.3500000,255.3500000,255.3500000,255.3500000,1389630
GAZP,15,20190705,101500,255.2000000,255.9600000,253.1800000,254.3000000,2677050
GAZP,15,20190705,103000,254.2400000,255.2000000,253.7200000,253.7700000,2007590
GAZP,15,20190705,104500,253.8300000,254.5400000,253.7700000,254.0600000,743760
GAZP,15,20190705,110000,254.0700000,254.7300000,254.0000000,254.6000000,751200
GAZP,15,20190705,111500,254.6100000,254.6100000,254.1600000,254.3600000,324810
GAZP,15,20190705,113000,254.4500000,254.7300000,253.5400000,253.5400000,1132780
